Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,768187096,9855.45087482945,211331,2.7112695587750166,0,6945714,89.1099882750636,1161,0.014895041227921112,0,
United States of America,Americas,103436829,31249.547,0,0,0,1127152,340.527,0,0,0
China,Western Pacific,99285177,6748.186,4604,0.313,0,121390,8.251,0,0,0
India,South-East Asia,44993543,3260.391,463,0.034,0,531896,38.543,4,0,0
France,Europe,39079469,60085.877,8364,12.86,0,163855,251.932,40,0.062,0
Germany,Europe,38434267,46213.523,1196,1.438,0,174691,210.049,7,0.008,0
Brazil,Americas,37639324,17707.672,13408,6.308,0,703399,330.919,108,0.051,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Republic of Korea,Western Pacific,32018486,62451.716,113819,222.003,0,34960,68.189,67,0.131,0
Italy,Europe,25887444,43405.094,2145,3.596,0,190706,319.754,27,0.045,0
The United Kingdom,Europe,24470658,36046.691,0,0,0,227272,334.785,0,0,0
Russian Federation,Europe,22953409,15728.574,6545,4.485,0,399436,273.709,123,0.084,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13905048,29377.308,14493,30.619,0,121622,256.952,380,0.803,0
Viet Nam,Western Pacific,11619322,11937.016,1138,1.169,0,43206,44.387,0,0,0
Australia,Western Pacific,11477838,45011.334,0,0,0,21510,84.353,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8610372,49463.335,0,0,0,22992,132.08,0,0,0
Mexico,Americas,7630407,5918.129,2294,1.779,0,334276,259.264,13,0.01,0
Iran (Islamic Republic of),Eastern Mediterranean,7612280,9062.999,69,0.082,0,146290,174.169,2,0.002,0
Indonesia,South-East Asia,6811201,2490.169,602,0.22,0,161844,59.17,12,0.004,0
Poland,Europe,6517680,17170.705,148,0.39,0,119624,315.147,2,0.005,0
Colombia,Americas,6371090,12521.085,1174,2.307,0,142794,280.633,14,0.028,0
Greece,Europe,6101379,56923.469,0,0,0,37089,346.026,0,0,0
Austria,Europe,6080088,68307.429,814,9.145,0,22523,253.037,1,0.011,0
Portugal,Europe,5592410,54316.817,928,9.013,0,26885,261.123,35,0.34,0
Ukraine,Europe,5559546,12712.253,0,0,0,112433,257.085,0,0,0
Chile,Americas,5288023,27662.52,217,1.135,0,61566,322.062,20,0.105,0
Malaysia,Western Pacific,5122019,15825.308,13433,41.503,0,37118,114.682,8,0.025,0
Israel,Europe,4828123,55780.719,327,3.778,0,12557,145.075,1,0.012,0
Belgium,Europe,4800759,41664.43,50,0.434,0,34364,298.235,0,0,0
Thailand,South-East Asia,4749910,6805.031,2158,3.092,0,34292,49.129,60,0.086,0
Canada,Americas,4686867,12418.123,2089,5.535,0,52804,139.907,37,0.098,0
Czechia,Europe,4642580,43413.189,107,1.001,0,42807,400.292,1,0.009,0
Peru,Americas,4508103,13672.58,0,0,0,220793,669.641,0,0,0
Switzerland,Europe,4406608,50916.262,0,0,0,14021,162.006,0,0,0
Philippines,Western Pacific,4159310,3795.646,3134,2.86,0,66482,60.669,1,0.001,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3414195,58635.308,126,2.164,0,8744,150.169,8,0.137,0
Romania,Europe,3406899,17625.99,730,3.777,0,68224,352.965,7,0.036,0
Sweden,Europe,2711428,26254.221,0,0,0,24471,236.948,0,0,0
Serbia,Europe,2543185,36715.653,156,2.252,0,18057,260.687,0,0,0
Singapore,Western Pacific,2493271,42617.526,0,0,0,1722,29.434,0,0,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
New Zealand,Western Pacific,2333913,48399.009,7524,156.027,0,3077,63.809,39,0.809,0
Hungary,Europe,2203082,22550.552,0,0,0,48795,499.461,0,0,0
Bangladesh,South-East Asia,2041623,1239.681,808,0.491,0,29457,17.886,4,0.002,0
Slovakia,Europe,1866857,34204.845,0,0,0,21167,387.825,0,0,0
Georgia,Europe,1844789,46244.875,0,0,0,17092,428.46,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1713340,34512.251,86,1.732,0,9028,181.853,30,0.604,0
Pakistan,Eastern Mediterranean,1580631,715.566,0,0,0,30656,13.878,0,0,0
Kazakhstan,Europe,1502857,8003.837,0,0,0,19072,101.573,0,0,0
Norway,Europe,1485627,27677.78,99,1.844,0,5566,103.697,0,0,0
Finland,Europe,1481587,26814.637,80,1.448,0,9886,178.923,0,0,0
Slovenia,Europe,1344525,64151.439,48,2.29,0,9394,448.217,0,0,0
Lithuania,Europe,1321137,47283.266,125,4.474,0,9690,346.803,2,0.072,0
Bulgaria,Europe,1308683,18825.957,269,3.87,0,38412,552.573,6,0.086,0
Morocco,Eastern Mediterranean,1274180,3452.074,0,0,0,16297,44.153,0,0,0
Croatia,Europe,1273959,31392.489,52,1.281,0,18269,450.179,2,0.049,0
Guatemala,Americas,1257244,7017.606,2091,11.671,0,20205,112.779,1,0.006,0
Puerto Rico,Americas,1252713,43788.094,0,0,0,5938,207.56,0,0,0
Lebanon,Eastern Mediterranean,1238411,18144.033,0,0,0,10932,160.165,0,0,0
Costa Rica,Americas,1235156,24246.71,772,15.155,0,9384,184.212,2,0.039,0
Bolivia (Plurinational State of),Americas,1201597,10293.796,1143,9.792,0,22387,191.784,1,0.009,0
Tunisia,Eastern Mediterranean,1153361,9758.847,0,0,0,29423,248.955,0,0,0
Cuba,Americas,1114459,9839.294,0,0,0,8530,75.309,0,0,0
United Arab Emirates,Eastern Mediterranean,1067030,10788.54,0,0,0,2349,23.75,0,0,0
Ecuador,Americas,1062275,6020.925,0,0,0,36019,204.154,0,0,0
Panama,Americas,1042631,24164.248,1302,30.175,0,8634,200.104,4,0.093,0
Uruguay,Americas,1038774,29903.706,0,0,0,7634,219.764,0,0,0
Mongolia,Western Pacific,1010034,30809.782,0,0,0,2136,65.156,0,0,0
Nepal,South-East Asia,1003361,3443.62,4,0.014,0,12031,41.291,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,978140,51273.933,25,1.31,0,6380,334.439,0,0,0
Saudi Arabia,Eastern Mediterranean,841469,2417.051,0,0,0,9646,27.707,0,0,0
Azerbaijan,Europe,831896,8204.77,14,0.138,0,10281,101.399,0,0,0
Paraguay,Americas,735759,10315.529,0,0,0,19961,279.858,81,1.136,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,672528,3140.71,8,0.037,0,16877,78.816,1,0.005,0
Kuwait,Eastern Mediterranean,665967,15594.332,12,0.281,0,2570,60.179,0,0,0
Dominican Republic,Americas,661596,6098.834,0,0,0,4384,40.413,0,0,0
Cyprus,Europe,660854,74420.076,0,0,0,1364,153.603,0,0,0
Myanmar,South-East Asia,640092,1176.428,300,0.551,0,19494,35.828,0,0,0
Republic of Moldova,Europe,620685,15386.482,0,0,0,12124,300.548,0,0,0
Estonia,Europe,619190,46591.511,58,4.364,0,3001,225.813,0,0,0
Venezuela (Bolivarian Republic of),Americas,552695,1943.649,0,0,0,5856,20.594,0,0,0
Egypt,Eastern Mediterranean,516023,504.252,0,0,0,24830,24.264,0,0,0
Qatar,Eastern Mediterranean,514336,17852.362,74,2.569,0,690,23.95,0,0,0
Libya,Eastern Mediterranean,507264,7382.367,0,0,0,6437,93.68,0,0,0
Ethiopia,Africa,500920,435.721,1,0.001,0,7574,6.588,0,0,0
Réunion,Africa,494595,55242.753,0,0,0,921,102.869,0,0,0
Honduras,Americas,472619,4771.709,0,0,0,11116,112.231,0,0,0
Armenia,Europe,449222,15159.856,0,0,0,8750,295.285,0,0,0
Bosnia and Herzegovina,Europe,403041,12284.783,0,0,0,16350,498.352,0,0,0
Oman,Eastern Mediterranean,399449,7822.171,0,0,0,4628,90.627,0,0,0
North Macedonia,Europe,348276,16716.874,0,0,0,9677,464.486,0,0,0
