COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,PERSONS_LAST_DOSE,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE
Afghanistan,AFG,EMRO,REPORTING,18-06-2023,20241838,17166330,16443159,22-02-2021,11,2031571
Albania,ALB,EURO,REPORTING,14-05-2023,3080679,1348396,1277987,13-01-2021,6,399190
Algeria,DZA,AFRO,REPORTING,04-09-2022,15267442,7840131,6481186,30-01-2021,4,575651
American Samoa,ASM,WPRO,REPORTING,29-03-2023,114706,46206,42479,21-12-2020,3,24160
Andorra,AND,EURO,REPORTING,21-05-2023,157059,57912,53500,20-01-2021,4,43068
Angola,AGO,AFRO,REPORTING,18-06-2023,25962530,15980639,9010599,10-03-2021,1,2220003
Anguilla,AIA,AMRO,REPORTING,02-06-2023,24611,10854,10380,05-02-2021,2,3046
Antigua and Barbuda,ATG,AMRO,REPORTING,02-06-2023,136512,64290,62384,01-03-2021,6,9838
Argentina,ARG,AMRO,REPORTING,07-10-2022,109652736,41324100,37840119,29-12-2020,7,30810184
Armenia,ARM,EURO,REPORTING,04-06-2023,2158796,1122646,996804,27-01-2021,10,45446
Aruba,ABW,AMRO,REPORTING,02-06-2023,216974,90449,84297,17-02-2021,2,35659
Australia,AUS,WPRO,REPORTING,24-03-2023,65492360,22231907,21648824,21-02-2021,5,14368201
Austria,AUT,EURO,REPORTING,11-06-2023,20402999,6899834,6682310,30-12-2020,10,5405808
Azerbaijan,AZE,EURO,REPORTING,11-06-2023,13825256,5434679,4887727,20-01-2021,5,3502852
Bahamas,BHS,AMRO,REPORTING,02-06-2023,366359,174810,166972,14-03-2021,4,33717
Bahrain,BHR,EMRO,REPORTING,21-12-2022,3476633,1241174,1226796,04-11-2020,11,1008663
Bangladesh,BGD,SEARO,REPORTING,19-06-2023,359933508,151369847,141013377,27-01-2021,8,67550284
Barbados,BRB,AMRO,REPORTING,02-06-2023,381721,163846,155036,08-01-2021,5,62839
Belarus,BLR,EURO,REPORTING,14-05-2023,21997703,6439812,6355081,03-02-2021,5,5713720
Belgium,BEL,EURO,REPORTING,11-06-2023,29118547,9254386,9158159,30-12-2020,4,7244723
Belize,BLZ,AMRO,REPORTING,02-06-2023,510770,258456,221408,01-03-2021,5,50238
Benin,BEN,AFRO,REPORTING,18-12-2022,4232541,3697190,2742837,29-03-2021,5,
Bermuda,BMU,AMRO,REPORTING,02-06-2023,132042,48554,47657,11-01-2021,3,31829
Bhutan,BTN,SEARO,REPORTING,30-10-2022,2011426,699116,677669,27-03-2021,5,634641
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,02-06-2023,16016290,7492606,6295624,30-01-2021,7,2487668
Bonaire,XAA,AMRO,REPORTING,02-06-2023,43070,17460,16189,25-02-2020,,8125
"Bonaire, Sint Eustatius and Saba",BES,AMRO,OWID,01-09-2021,35845,19109,16736,27-03-2021,2,
Bosnia and Herzegovina,BIH,EURO,REPORTING,29-01-2022,1924950,943394,846080,05-09-2020,4,
Botswana,BWA,AFRO,REPORTING,07-05-2023,3171667,1951054,1663490,26-03-2021,6,507654
Brazil,BRA,AMRO,REPORTING,02-06-2023,513329718,188746389,171459392,17-01-2021,5,110382337
British Virgin Islands,VGB,AMRO,REPORTING,02-06-2023,41453,19466,18261,11-02-2021,3,3726
Brunei Darussalam,BRN,WPRO,REPORTING,28-04-2023,1291978,451032,446630,03-04-2021,5,340379
Bulgaria,BGR,EURO,REPORTING,11-06-2023,4618004,2108377,2080169,30-12-2020,4,832572
Burkina Faso,BFA,AFRO,REPORTING,19-03-2023,6674010,5152110,4129254,02-06-2021,3,
Burundi,BDI,AFRO,REPORTING,11-06-2023,40041,36909,36321,18-10-2021,1,314
Cabo Verde,CPV,AFRO,REPORTING,25-09-2022,859940,356734,308720,18-03-2021,4,749
Cambodia,KHM,WPRO,REPORTING,07-06-2023,47096851,15290443,14663743,10-02-2021,7,10663964
Cameroon,CMR,AFRO,REPORTING,11-06-2023,4784894,3692198,3139931,12-04-2021,4,775293
Canada,CAN,AMRO,REPORTING,02-06-2023,97596974,32645232,31311576,14-12-2020,6,19776324
Cayman Islands,CYM,AMRO,REPORTING,02-06-2023,151822,62085,60664,15-01-2021,1,24064
Central African Republic,CAF,AFRO,REPORTING,18-06-2023,3109186,2600389,2484985,19-03-2021,2,366221
Chad,TCD,AFRO,REPORTING,11-06-2023,8549887,6254729,6127422,04-06-2021,1,4042573
